item_id,pack_id,title,rights_class,render_mode,format,body_asset_path,external_url,rights_reviewed_at,content_reviewed_at,release_status,approval_basis,notes
s9-1-l02-aeon-screens-free-or-shackled,attention_practical_agency_v1,Free or Shackled to Screens?,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://aeon.co/essays/has-technology-set-us-free-or-shackled-us-to-our-screens,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l03-aeon-literacy-design-problem,attention_practical_agency_v1,Literacy as a Design Problem,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://aeon.co/essays/what-we-think-is-a-decline-in-literacy-is-a-design-problem,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l04-aeon-sovereign-individual-digital-age,attention_practical_agency_v1,The Sovereign Individual Online,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://aeon.co/essays/the-sovereign-individual-and-the-paradox-of-the-digital-age,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l05-aeon-quantified-self-spirituality,attention_practical_agency_v1,The Quantified Self as Ritual,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://aeon.co/essays/the-quantified-self-is-a-spirituality-for-our-times,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l06-sep-philosophy-technology,attention_practical_agency_v1,Philosophy of Technology,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://plato.stanford.edu/entries/technology/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l07-nautilus-modern-media-free-will,attention_practical_agency_v1,Modern Media and Free Will,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://nautil.us/modern-media-is-a-dos-attack-on-your-free-will-236806/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l08-nautilus-boredom-does-to-you,attention_practical_agency_v1,What Boredom Does,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://nautil.us/what-boredom-does-to-you-236854/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l09-nautilus-space-case,attention_practical_agency_v1,It Pays to Be a Space Case,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://nautil.us/it-pays-to-be-a-space-case-237985/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l10-psyche-bayesian-decisions,attention_practical_agency_v1,Think Like a Bayesian,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://psyche.co/guides/how-to-think-like-a-bayesian-and-make-better-decisions,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l11-psyche-procrastination-progress,attention_practical_agency_v1,Procrastination Without Self-Judgment,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://psyche.co/guides/how-to-think-differently-about-procrastination-and-make-progress,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l12-psyche-stop-procrastinating,attention_practical_agency_v1,Confront Avoidance,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://psyche.co/guides/how-to-stop-procrastinating-by-confronting-your-avoidance,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l13-psyche-resist-temptations,attention_practical_agency_v1,Resist Everyday Temptations,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://psyche.co/guides/how-to-resist-everyday-temptations-and-take-back-control,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l14-psyche-tough-decision,attention_practical_agency_v1,Make a Tough Decision,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://psyche.co/guides/how-to-make-a-tough-decision-break-it-down-and-listen-to-your-gut,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-1-l15-sep-personal-identity,attention_practical_agency_v1,Personal Identity,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://plato.stanford.edu/entries/identity-personal/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-r01-muir-mountains-california,embodied_calm_v1,Walk Into the Mountains,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_2_r01_muir_mountains_california.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-r02-white-selborne-noticing,embodied_calm_v1,Notice the Living World,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_2_r02_white_selborne_noticing.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-r03-burroughs-wake-robin,embodied_calm_v1,Wake-Robin Noticing,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_2_r03_burroughs_wake_robin.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-r04-okakura-book-of-tea,embodied_calm_v1,The Cup as a Pause,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_2_r04_okakura_book_of_tea.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-r05-confucius-analects-calm,embodied_calm_v1,Choose Measure Before Reaction,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_2_r05_confucius_analects_calm.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-r06-boethius-consolation,embodied_calm_v1,Fortune Turns the Wheel,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_2_r06_boethius_consolation.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-r07-schopenhauer-counsels-maxims,embodied_calm_v1,Hold the Moment Lightly,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_2_r07_schopenhauer_counsels_maxims.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-r08-laozi-tao-teh-king,embodied_calm_v1,Return to the Unforced,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_2_r08_laozi_tao_teh_king.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l01-sep-bodily-awareness,embodied_calm_v1,Bodily Awareness,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://plato.stanford.edu/entries/bodily-awareness/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l02-sep-emotion,embodied_calm_v1,Emotion,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://plato.stanford.edu/entries/emotion/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l03-iep-theories-emotion,embodied_calm_v1,Theories of Emotion,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://iep.utm.edu/theories-of-emotion/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l04-iep-stoic-philosophy-mind,embodied_calm_v1,Stoic Philosophy of Mind,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://iep.utm.edu/stoicmind/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l05-iep-husserl-embodiment,embodied_calm_v1,Embodiment and Experience,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://iep.utm.edu/husspemb/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l06-sapiens-bipedality,embodied_calm_v1,Why Humans Walk Upright,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.sapiens.org/archaeology/human-bipedality/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l07-sapiens-coffee-rituals,embodied_calm_v1,Coffee Rituals and Calm,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.sapiens.org/culture/coffee-rituals/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l08-sapiens-body-positivity,embodied_calm_v1,Bodies Beyond Appearance,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.sapiens.org/culture/kichwa-body-positivity/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l09-sapiens-exercise-history,embodied_calm_v1,Why Bodies Resist Exercise,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.sapiens.org/biology/evolutionary-history-exercise/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l10-smithsonian-perception-defined,embodied_calm_v1,Perception in the Garden,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.smithsonianmag.com/science-nature/perception-defined-100113767/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l11-smithsonian-senses-design,embodied_calm_v1,Design Beyond Vision,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.si.edu/newsdesk/releases/cooper-hewitt-smithsonian-design-museum-present-senses-design-beyond-vision,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-2-l12-smithsonian-engaging-senses,embodied_calm_v1,Engaging the Senses,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://asia-archive.si.edu/exhibition/engaging-the-senses/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r01-fabre-storybook-science,wonder_science_v1,Make the World Strange Again,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r01_fabre_storybook_science.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r02-fabre-life-spider,wonder_science_v1,A Spider as a World,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r02_fabre_life_spider.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r03-fabre-life-fly,wonder_science_v1,The Fly Under Attention,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r03_fabre_life_fly.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r04-buckley-fairyland-science,wonder_science_v1,Science as Wonder,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r04_buckley_fairyland_science.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r05-flammarion-astronomy-amateurs,wonder_science_v1,Look Up for Scale,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r05_flammarion_astronomy_amateurs.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r06-ball-story-heavens,wonder_science_v1,The Heavens in Scale,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r06_ball_story_heavens.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r07-martin-piece-coal,wonder_science_v1,A Lump of Coal Tells Time,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r07_martin_piece_coal.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r08-darwin-insectivorous-plants,wonder_science_v1,Plants That Hunt,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r08_darwin_insectivorous_plants.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r09-tyndall-lectures-light,wonder_science_v1,Light Has Structure,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r09_tyndall_lectures_light.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r10-munro-story-electricity,wonder_science_v1,Electricity Becomes Visible,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r10_munro_story_electricity.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-r11-figuier-ocean-world,wonder_science_v1,The Sea as a World,RENDERABLE,IN_APP_READER,MARKDOWN,editorial/items/s9_3_r11_figuier_ocean_world.md,,2026-04-26,2026-04-26,approved_in_app_reader,Project Gutenberg public-domain source reviewed; self-contained excerpt selected; attribution and source policy retained; no summary or paraphrase.,Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l01-quanta-life-complexity,wonder_science_v1,Life Gets Complicated,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.quantamagazine.org/the-surprising-origins-of-lifes-complexity-20130716/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l02-quanta-quantumness,wonder_science_v1,What Makes Quantum Quantum,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.quantamagazine.org/the-quest-to-quantify-quantumness-20231019/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l03-quanta-uncertainty-measurements,wonder_science_v1,Uncertainty as a Tool,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.quantamagazine.org/physicists-show-how-quantum-uncertainty-sharpens-measurements-20220503/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l04-quanta-universe-shape,wonder_science_v1,Can the Universe Have Shape,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.quantamagazine.org/cosmologists-try-a-new-way-to-measure-the-shape-of-the-universe-20250127/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l05-quanta-vertebrate-intelligence,wonder_science_v1,Birds Think Differently,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://www.quantamagazine.org/intelligence-evolved-at-least-twice-in-vertebrate-animals-20250407/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l06-nasa-carbon-cycle-seawifs,wonder_science_v1,Earth Breathes in Color,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://earthobservatory.nasa.gov/images/1297/seawifs-views-the-global-carbon-cycle,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l07-nasa-exoplanets,wonder_science_v1,Worlds Beyond This One,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://science.nasa.gov/exoplanets/what-is-an-exoplanet/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l08-nasa-pale-blue-dot,wonder_science_v1,Earth as One Pixel,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://science.nasa.gov/photojournal/pale-blue-dot-revisited,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l09-noaa-ocean-acidification,wonder_science_v1,The Ocean Changes Chemistry,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://oceanservice.noaa.gov/facts/acidification.html,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l10-noaa-el-nino,wonder_science_v1,A Pattern in the Pacific,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://oceanexplorer.noaa.gov/facts/elnino.html,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l11-owid-energy,wonder_science_v1,Energy Systems in Data,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://ourworldindata.org/energy,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l12-owid-greenhouse-gases,wonder_science_v1,Emissions in Context,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://ourworldindata.org/greenhouse-gas-emissions,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l13-nautilus-brains-best-guess,wonder_science_v1,Reality Is a Guess,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://nautil.us/reality-is-your-brains-best-guess-312269/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l14-nautilus-life-rules,wonder_science_v1,Life Has Rules,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://nautil.us/life-beyond-human-has-to-play-by-the-rules-238157/,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
s9-3-l15-smithsonian-deep-sea,wonder_science_v1,The Deep Sea Is Nearby,LINK_ONLY,EXTERNAL_HANDOFF,HTML,,https://ocean.si.edu/ecosystems/deep-sea,2026-04-26,2026-04-26,approved_link_only_handoff,"Canonical link only; no scraping, caching, body text, summary, or in-app reproduction; browser handoff only.",Supersedes pre-integration candidate backlog status for Sprint 9 release readiness.
