item_id,pack_id,title,source_family,rights_class,render_mode,format,duration_minutes,current_topics,candidate_primary_topic,candidate_replacement_moment,current_status,counts_as_new_candidate
taking-the-long-view,link-only-modern-v1,Taking the Long View,Long Now,LINK_ONLY,EXTERNAL_HANDOFF,HTML,8,ESSAYS|PHILOSOPHY,PHILOSOPHY,CALM_PHILOSOPHY,already_integrated,false
reclaim-your-attention,link-only-modern-v1,How to Reclaim Your Attention,Psyche,LINK_ONLY,EXTERNAL_HANDOFF,HTML,12,PSYCHOLOGY|TECH,ATTENTION,ATTENTION_RESET,already_integrated,false
become-indistractable,link-only-modern-v1,To Become Indistractable,Psyche,LINK_ONLY,EXTERNAL_HANDOFF,HTML,10,PSYCHOLOGY|TECH,ATTENTION,ATTENTION_RESET,already_integrated,false
attention-and-self,link-only-modern-v1,"I Attend, Therefore I Am",Aeon,LINK_ONLY,EXTERNAL_HANDOFF,HTML,16,PHILOSOPHY|PSYCHOLOGY,ATTENTION,ATTENTION_RESET,already_integrated,false
sit-and-think,link-only-modern-v1,Time to Sit and Think,Aeon,LINK_ONLY,EXTERNAL_HANDOFF,HTML,10,ESSAYS|PHILOSOPHY,PHILOSOPHY,CALM_PHILOSOPHY,already_integrated,false
mathematical-thinking,link-only-modern-v1,Mathematical Thinking Isn't What You Think It Is,Quanta,LINK_ONLY,EXTERNAL_HANDOFF,HTML,8,SCIENCE|CREATIVITY,CREATIVITY,CREATIVITY_PLAY,already_integrated,false
what-is-life-quanta,link-only-modern-v1,What Is Life?,Quanta,LINK_ONLY,EXTERNAL_HANDOFF,HTML,10,SCIENCE|PHILOSOPHY,SCIENCE,WONDER_CURIOSITY,already_integrated,false
evolution-fast-or-slow,link-only-modern-v1,"Evolution, Fast or Slow?",Quanta,LINK_ONLY,EXTERNAL_HANDOFF,HTML,8,SCIENCE,SCIENCE,WONDER_CURIOSITY,already_integrated,false
life-in-games,link-only-modern-v1,A Life in Games,Quanta,LINK_ONLY,EXTERNAL_HANDOFF,HTML,12,SCIENCE|CREATIVITY,CREATIVITY,CREATIVITY_PLAY,already_integrated,false
anthropology-of-smell,link-only-modern-v1,The Anthropology of Smell,SAPIENS,LINK_ONLY,EXTERNAL_HANDOFF,HTML,8,SCIENCE|HISTORY,HISTORY_CULTURE,HISTORY_CULTURE,already_integrated,false
cargo-cult-rituals,link-only-modern-v1,What Cargo Cult Rituals Reveal,SAPIENS,LINK_ONLY,EXTERNAL_HANDOFF,HTML,9,HISTORY|PHILOSOPHY,HISTORY_CULTURE,HISTORY_CULTURE,already_integrated,false
evolution-of-childhood,link-only-modern-v1,The Evolution of Childhood,SAPIENS,LINK_ONLY,EXTERNAL_HANDOFF,HTML,8,SCIENCE|HISTORY,HISTORY_CULTURE,HISTORY_CULTURE,already_integrated,false
sep-attention,link-only-modern-v1,Attention,Stanford Encyclopedia of Philosophy,LINK_ONLY,EXTERNAL_HANDOFF,HTML,18,PHILOSOPHY|PSYCHOLOGY,ATTENTION,ATTENTION_RESET,already_integrated,false
iep-free-will,link-only-modern-v1,Free Will,Internet Encyclopedia of Philosophy,LINK_ONLY,EXTERNAL_HANDOFF,HTML,16,PHILOSOPHY,PHILOSOPHY,CALM_PHILOSOPHY,already_integrated,false
iep-stoicism,link-only-modern-v1,Stoicism,Internet Encyclopedia of Philosophy,LINK_ONLY,EXTERNAL_HANDOFF,HTML,14,PHILOSOPHY,PHILOSOPHY,CALM_PHILOSOPHY,already_integrated,false
the-distracted-mind,link-only-modern-v1,The Distracted Mind,Nautilus,LINK_ONLY,EXTERNAL_HANDOFF,HTML,8,SCIENCE|TECH|PSYCHOLOGY,ATTENTION,ATTENTION_RESET,already_integrated,false
why-it-pays-to-play-around,link-only-modern-v1,Why It Pays to Play Around,Nautilus,LINK_ONLY,EXTERNAL_HANDOFF,HTML,7,SCIENCE|CREATIVITY,CREATIVITY,CREATIVITY_PLAY,already_integrated,false
new-view-of-time,link-only-modern-v1,A New View of Time,Nautilus,LINK_ONLY,EXTERNAL_HANDOFF,HTML,6,SCIENCE|PHILOSOPHY,SCIENCE,WONDER_CURIOSITY,already_integrated,false
